index,Column1,Name,Nic_year,Position,Strengths,Weaknesses,player_x,join_slug,player_id,player_y,position,WAR,strengths_processed,weaknesses_processed,combined_text,athleticism_sentiment,playmaking_sentiment,off-field_sentiment,physical_sentiment,top_bigrams,similar_1_name,similar_1_score,similar_2_name,similar_2_score,similar_3_name,similar_3_score,similar_4_name,similar_4_score,similar_5_name,similar_5_score,join_slug_1,WAR_1,join_slug_2,WAR_2,join_slug_3,WAR_3,join_slug_4,WAR_4,join_slug_5,WAR_5,max_similarity,prediction
12,12.0,JOSH JACOBS,2019,RB,"Compact  athletic frame easy explosion off his plant foot makes sudden 90 degree cuts without losing speed changes gaps in a blink at the line of
scrimmage with his lateral jump cuts agile steps in tight spaces physical finisher and gives as good as he gets when meeting linebackers in the hole lowers his pads
and can be his own blocker strong lower body  running through ankle tackles hand eye coordination and ball skills to make easy adjustments as a pass catcher was
more than just a screen target in college  doing damage on seam and angle routes only three career fumbles able to slow down rushers in pass protection became
 13 
the team s lead blocker in 2018 and bullied defenders was a key part of multiple special teams coverages with kick return experience  averaging 30 6 yards per
return in 2018 with one touchdown  14 428 1  coaches call him an  intense  practice player and effort is not a concern  Alabama center Ross Pierschbacher   He
does everything right  He is a freak running back   ","Indecisive at times and needs to get north south quicker guilty of making too many cuts at times still developing his feel as an inside runner didn t
have many home run plays on his tape  of his 120 carries in 2018  only one went for 20 plus yards  shared the workload in college and was kept fresh   only three
career games with 15 plus offensive touches battled injuries as a sophomore  including a fractured left ankle  October 2017  and torn left hamstring  November
2017   requiring surgery  didn t work out at the scouting combine  February 2019  due to a left groin strain ",josh jacobs,josh jacobs-RB,45953.0,josh jacobs,RB,0.12343403926142704,compact athletic frame easy explosion plant foot make sudden degree cut without losing speed change gap blink line scrimmage lateral jump cut agile step tight space physical finisher give good get meeting linebacker hole lower pad blocker strong lower body running ankle tackle hand eye coordination ball skill make easy adjustment pas catcher screen target college damage seam angle route three career fumble able slow rusher pas protection became team lead blocker bullied defender key part multiple special team coverage kick return experience averaging yard per return one touchdown coach call intense practice player effort concern alabama center ross pierschbacher everything right freak running back,indecisive time need get north south quicker guilty making many cut time still developing feel inside runner many home run play tape carry one went plus yard shared workload college kept fresh three career game plus offensive touch battled injury sophomore including fractured left ankle october torn left hamstring november requiring surgery work scouting combine february due left groin strain,compact athletic frame easy explosion plant foot make sudden degree cut without losing speed change gap blink line scrimmage lateral jump cut agile step tight space physical finisher give good get meeting linebacker hole lower pad blocker strong lower body running ankle tackle hand eye coordination ball skill make easy adjustment pas catcher screen target college damage seam angle route three career fumble able slow rusher pas protection became team lead blocker bullied defender key part multiple special team coverage kick return experience averaging yard per return one touchdown coach call intense practice player effort concern alabama center ross pierschbacher everything right freak running back indecisive time need get north south quicker guilty making many cut time still developing feel inside runner many home run play tape carry one went plus yard shared workload college kept fresh three career game plus offensive touch battled injury sophomore including fractured left ankle october torn left hamstring november requiring surgery work scouting combine february due left groin strain,-0.29166,-0.6049800000000001,-1.0,-0.6943,"['three career', 'averaging yard', 'angle route', 'career fumble', 'career game', 'coach call', 'ball skill', 'experience averaging', 'foot make', 'game plus']",rachaad white-RB,0.582,devon achane-RB,0.5307,isaac guerendo-RB,0.4961,jahmyr gibbs-RB,0.484,zamir white-RB,0.4734,rachaad white-RB,0.1502732955691344,devon achane-RB,0.17448289521519936,isaac guerendo-RB,-0.02692809542214357,jahmyr gibbs-RB,0.2844965950122011,zamir white-RB,0.014392698007670813,2.5661999999999994,0.12127190304565263
13,13.0,DAMIEN HARRIS,2019,RB,"Compact build with strong thighs instinctive and senses openings NFL ready vision and decision making stays balanced through contact with the pad
level and finishing toughness to finish through tackle attempts squares his shoulders and gets his momentum north south flashes an open field burst with a second
gear to outrace pursuit downfield  12 rushes of 30 plus yards the past two seasons  makes gliding cuts instead of hard stops  preventing him from having to gear
down stops rushers cold in pass pro due to his effort and natural power only three career fumbles and none the past two years  finished his career with 350
straight touches without a fumble  durable and looked like the same back regardless of quarter regular on punt coverages  blocking a punt  September 2017  vs 
FSU hungry competitor named a 2018 team captain and was an important guy in the locker room graduated with his degree  December 2018  consistent
production and his 6 45 yards per carry career average ranks third best in SEC history behind Bo Jackson and Derrius Guice ","Not explosive when changing directions limited juice when attempting to find running room east west smaller catch radius  fighting balls that
weren t thrown at his facemask wasn t asked to be a workhorse and never had 20 plus carries in a collegiate game durability wasn t an issue at Alabama  but he
suffered a concussion  November 2018   fought through a nagging right ankle injury  September 2016  as a sophomore and missed four games as a senior in high
school due to a MCL sprain in his right knee  October 2014  ",damien harris,damien harris-RB,35134.0,damien harris,RB,0.06561905620404193,compact build strong thigh instinctive sens opening nfl ready vision decision making stay balanced contact pad level finishing toughness finish tackle attempt square shoulder get momentum north south flash open field burst second gear outrace pursuit downfield rush plus yard past two season make gliding cut instead hard stop preventing gear stop rusher cold pas pro due effort natural power three career fumble none past two year finished career straight touch without fumble durable looked like back regardless quarter regular punt coverage blocking punt september fsu hungry competitor named team captain important guy locker room graduated degree december consistent production yard per carry career average rank third best sec history behind jackson derrius guice,explosive changing direction limited juice attempting find running room east west smaller catch radius fighting ball thrown facemask asked workhorse never plus carry collegiate game durability issue alabama suffered concussion november fought nagging right ankle injury september sophomore missed four game senior high school due mcl sprain right knee october,compact build strong thigh instinctive sens opening nfl ready vision decision making stay balanced contact pad level finishing toughness finish tackle attempt square shoulder get momentum north south flash open field burst second gear outrace pursuit downfield rush plus yard past two season make gliding cut instead hard stop preventing gear stop rusher cold pas pro due effort natural power three career fumble none past two year finished career straight touch without fumble durable looked like back regardless quarter regular punt coverage blocking punt september fsu hungry competitor named team captain important guy locker room graduated degree december consistent production yard per carry career average rank third best sec history behind jackson derrius guice explosive changing direction limited juice attempting find running room east west smaller catch radius fighting ball thrown facemask asked workhorse never plus carry collegiate game durability issue alabama suffered concussion november fought nagging right ankle injury september sophomore missed four game senior high school due mcl sprain right knee october,-0.31314999999999993,-0.15789999999999998,-0.9132999999999999,-0.48939999999999995,"['past two', 'ankle injury', 'career average', 'asked workhorse', 'carry career', 'catch radius', 'collegiate game', 'compact build', 'consistent production', 'decision making']",myles gaskin-RB,0.6342,dandre swift-RB,0.5606,devon achane-RB,0.4801,braelon allen-RB,0.4762,kylin hill-RB,0.4542,myles gaskin-RB,0.0832908734238714,dandre swift-RB,-0.02482453507905675,devon achane-RB,0.17448289521519936,braelon allen-RB,-0.02456521717982741,kylin hill-RB,-0.00022652299212345104,2.6053,0.04255741465046673
14,14.0,DAVID MONTGOMERY,2019,RB,"Elusive runner due to his balance  low center and run toughness good sized athlete and rarely goes down at first contact flashes strong leg drive and
powers through arm tackles when he wants to patient at the line of scrimmage with strong cuts to keep defenders off balance in the hole vision to find the cutback
lane easy to appreciate his toughness and nonstop fight reliable ball skills with focus to stab away from his body steady base and awareness in pass protection to
face up and keep rushers occupied only three career fumbles on 695 touches  and never more than one in a season  named a 2018 team captain and his coaches
call him a  culture changer  due to his work ethic  effort and character  Eagle Scout who is very involved in his community  ranked sixth in school history in career
rushing yards  2 925  and all purpose yards  3 507  ","Lacks instant acceleration to speed away from pursuit wasn t a big play creator in college  2018  zero rushes of 40 plus yards and only two rushes of
30 plus yards  too much east west and guilty of making too many moves late to read and anticipate developing lanes bad habit of bracing for contact in the hole
instead of lowering his pads not a hammer and doesn t always fall forward always carries the ball in his left hand awareness as a route runner must
improve missed one game as a junior due to an upper arm injury  October 2018  ",david montgomery,david montgomery-RB,45719.0,david montgomery,RB,0.14349978574673755,elusive runner due balance low center run toughness good sized athlete rarely go first contact flash strong leg drive power arm tackle want patient line scrimmage strong cut keep defender balance hole vision find cutback lane easy appreciate toughness nonstop fight reliable ball skill focus stab away body steady base awareness pas protection face keep rusher occupied three career fumble touch never one season named team captain coach call culture changer due work ethic effort character eagle scout involved community ranked sixth school history career rushing yard purpose yard,lack instant acceleration speed away pursuit big play creator college zero rush plus yard two rush plus yard much east west guilty making many move late read anticipate developing lane bad habit bracing contact hole instead lowering pad hammer always fall forward always carry ball left hand awareness route runner must improve missed one game junior due upper arm injury october,elusive runner due balance low center run toughness good sized athlete rarely go first contact flash strong leg drive power arm tackle want patient line scrimmage strong cut keep defender balance hole vision find cutback lane easy appreciate toughness nonstop fight reliable ball skill focus stab away body steady base awareness pas protection face keep rusher occupied three career fumble touch never one season named team captain coach call culture changer due work ethic effort character eagle scout involved community ranked sixth school history career rushing yard purpose yard lack instant acceleration speed away pursuit big play creator college zero rush plus yard two rush plus yard much east west guilty making many move late read anticipate developing lane bad habit bracing contact hole instead lowering pad hammer always fall forward always carry ball left hand awareness route runner must improve missed one game junior due upper arm injury october,-0.48005,0.02744285714285719,-0.8277625,-0.3947250000000001,"['plus yard', 'rush plus', 'arm tackle', 'awareness pas', 'bad habit', 'ball skill', 'big play', 'captain coach', 'career fumble', 'career rushing']",zach charbonnet-RB,0.7448,kenneth walker-RB,0.682,cam akers-RB,0.6747,larry rountree-RB,0.6438,mohamed ibrahim-RB,0.5827,zach charbonnet-RB,0.10629470293316559,kenneth walker-RB,0.06824383416921607,cam akers-RB,0.031323875782899864,larry rountree-RB,-0.010139654549568604,mohamed ibrahim-RB,-0.05,3.3280000000000003,0.033408022547998004
15,15.0,MILES SANDERS,2019,RB,"Looks the part with proportionate build calculating runner  patiently reading blocks and hitting holes lower body strength  controlled lateral cuts and
natural balance allow him to squirm out of tackle attempts  3 5 yards after initial contact in 2018  understands pacing  making tackles a chore for defenders doesn t
seek out contact  but it doesn t bother him either uses his peripherals to find the cutback lane natural receiving traits  adjusting his frame with soft hands to catch
and go wasn t worn down by excessive touches in college averaged 108 7 yards of total offense  fourth best in the Big Ten  in his lone season as a starter ","His cuts have bounce  but not organic explosion relies more on timing pacing than burst to shake defenders prefers to sidestep contact rather than
power through it runs tough  but more finesse than expected late to get north south on outside runs ball security was an issue with nine fumbles on only 308
offensive touches  fumbled once every 34 2 touches  offers blocking upside  but needs to improve his awareness and urgency in pass protection only one season as
the full time back ",miles sanders,miles sanders-RB,40555.0,miles sanders,RB,-0.06006325497001488,look part proportionate build calculating runner patiently reading block hitting hole lower body strength controlled lateral cut natural balance allow squirm tackle attempt yard initial contact understands pacing making tackle chore defender seek contact bother either us peripheral find cutback lane natural receiving trait adjusting frame soft hand catch worn excessive touch college averaged yard total offense fourth best big ten lone season starter,cut bounce organic explosion relies timing pacing burst shake defender prefers sidestep contact rather power run tough finesse expected late get north south outside run ball security issue nine fumble offensive touch fumbled every touch offer blocking upside need improve awareness urgency pas protection one season full time back,look part proportionate build calculating runner patiently reading block hitting hole lower body strength controlled lateral cut natural balance allow squirm tackle attempt yard initial contact understands pacing making tackle chore defender seek contact bother either us peripheral find cutback lane natural receiving trait adjusting frame soft hand catch worn excessive touch college averaged yard total offense fourth best big ten lone season starter cut bounce organic explosion relies timing pacing burst shake defender prefers sidestep contact rather power run tough finesse expected late get north south outside run ball security issue nine fumble offensive touch fumbled every touch offer blocking upside need improve awareness urgency pas protection one season full time back,0.30180000000000007,-0.2623,0.0,-0.3045666666666667,"['attempt yard', 'averaged yard', 'ball security', 'big ten', 'body strength', 'chore defender', 'cutback lane', 'find cutback', 'full time', 'fumble offensive']",brenden knox-RB,0.3913,jashaun corbin-RB,0.3712,rhamondre stevenson-RB,0.3604,trey ragas-RB,0.3569,jahmyr gibbs-RB,0.331,brenden knox-RB,-0.05,jashaun corbin-RB,0.009883795920019353,rhamondre stevenson-RB,0.06589868321213403,trey ragas-RB,0.004787662536819691,jahmyr gibbs-RB,0.2844965950122011,1.8108,0.05728453732250597
16,16.0,DEVIN SINGLETARY,2019,RB,"Terrific lateral agility that gives defenders nightmares sets up moves with widescreen vision and slippery athleticism  led the FBS with 113 broken
tackles in 2018  25 more than any other player  outstanding instincts to sense developing lanes and dart between open spaces patient ball carrier and won t force
things natural balance with the core strength to keep his feet not overpowering  but runs low and doesn t gear down at contact  finishing strong impressive 191 3
fumble rate  four career fumbles  nice job on angle routes and catches passes thrown at him nose for the end zone  ranking sixth all time in FBS history with 66
rushing touchdowns  five players ahead of him all played four years  above average production with three straight 1 000 yard rushing seasons  setting the school
records for career rushing yards and all purpose yards ","Lacks an ideal build for the position with limited growth potential average power as an inside runner tends to fatigue over four quarters and
workload will be a question mark with his size lacks ideal long speed for the position wasn t asked to stay home and pass protect in college receiving production
declined over his career ",devin singletary,devin singletary-RB,40485.0,devin singletary,RB,-0.18600218405943425,terrific lateral agility give defender nightmare set move widescreen vision slippery athleticism led fbs broken tackle player outstanding instinct sense developing lane dart open space patient ball carrier force thing natural balance core strength keep foot overpowering run low gear contact finishing strong impressive fumble rate four career fumble nice job angle route catch pass thrown nose end zone ranking sixth time fbs history rushing touchdown five player ahead played four year average production three straight yard rushing season setting school record career rushing yard purpose yard,lack ideal build position limited growth potential average power inside runner tends fatigue four quarter workload question mark size lack ideal long speed position asked stay home pas protect college receiving production declined career,terrific lateral agility give defender nightmare set move widescreen vision slippery athleticism led fbs broken tackle player outstanding instinct sense developing lane dart open space patient ball carrier force thing natural balance core strength keep foot overpowering run low gear contact finishing strong impressive fumble rate four career fumble nice job angle route catch pass thrown nose end zone ranking sixth time fbs history rushing touchdown five player ahead played four year average production three straight yard rushing season setting school record career rushing yard purpose yard lack ideal build position limited growth potential average power inside runner tends fatigue four quarter workload question mark size lack ideal long speed position asked stay home pas protect college receiving production declined career,-0.79235,-0.07552499999999997,-0.88685,0.04357500000000003,"['lack ideal', 'angle route', 'ball carrier', 'average production', 'build position', 'career fumble', 'career rushing', 'core strength', 'developing lane', 'end zone']",darrell henderson-RB,0.542,jaret patterson-RB,0.5274,jonathan taylor-RB,0.446,pierre strong-RB,0.3988,travis etienne-RB,0.395,darrell henderson-RB,-0.0485085333534552,jaret patterson-RB,0.002433461446001716,jonathan taylor-RB,0.07915024381722907,pierre strong-RB,-0.008925213252388667,travis etienne-RB,0.05683318683790067,2.3091999999999997,0.012637504325069687
17,17.0,DARRELL HENDERSON,2019,RB,"Built low to the ground to maintain his balance at contact shifts gears to skillfully weave through the defense  destroying pursuit angles owns a
dynamic plant burst accelerate sequence through the hole able to laterally juke from trouble good feel for inside outside zone  making quick reads instinctively
strings moves together and gravitates toward space at his best off tackle  using a runway to turn on the jets big play threat  leading the FBS in plays of 40 plus yards
 15  and 50 plus yards  12  in 2018 his 8 23 yards per carry in his career is No  1 in FBS history  minimum 415 carries  has kick return experience with one career
return touchdown  25 487 1  reliable finishing when targeted and nifty after the catch ","Undersized build with limited growth potential average run power needs to better lower his pads to create momentum through contact swerves
around corners instead of putting his foot in the ground and making sharp 90 degree turns better initial acceleration than long speed indecisive at times in the
backfield most of his broken tackles came outside the tackles active in the screen game  but didn t run diverse routes room to improve his ball security  four
fumbles the last two seasons  wasn t asked to pass protect on a regular basis ",darrell henderson,darrell henderson-RB,41193.0,darrell henderson,RB,-0.0485085333534552,built low ground maintain balance contact shift gear skillfully weave defense destroying pursuit angle owns dynamic plant burst accelerate sequence hole able laterally juke trouble good feel inside outside zone making quick read instinctively string move together gravitates toward space best tackle using runway turn jet big play threat leading fbs play plus yard plus yard yard per carry career fbs history minimum carry kick return experience one career return touchdown reliable finishing targeted nifty catch,undersized build limited growth potential average run power need better lower pad create momentum contact swerve around corner instead putting foot ground making sharp degree turn better initial acceleration long speed indecisive time backfield broken tackle came outside tackle active screen game run diverse route room improve ball security four fumble last two season asked pas protect regular basis,built low ground maintain balance contact shift gear skillfully weave defense destroying pursuit angle owns dynamic plant burst accelerate sequence hole able laterally juke trouble good feel inside outside zone making quick read instinctively string move together gravitates toward space best tackle using runway turn jet big play threat leading fbs play plus yard plus yard yard per carry career fbs history minimum carry kick return experience one career return touchdown reliable finishing targeted nifty catch undersized build limited growth potential average run power need better lower pad create momentum contact swerve around corner instead putting foot ground making sharp degree turn better initial acceleration long speed indecisive time backfield broken tackle came outside tackle active screen game run diverse route room improve ball security four fumble last two season asked pas protect regular basis,-0.20844000000000001,0.1287666666666667,0.0,-0.63665,"['plus yard', 'average run', 'balance contact', 'ball security', 'big play', 'broken tackle', 'built low', 'carry career', 'fbs history', 'foot ground']",devin singletary-RB,0.542,jahmyr gibbs-RB,0.4471,bijan robinson-RB,0.4219,eric gray-RB,0.3944,jonathan taylor-RB,0.392,devin singletary-RB,-0.18600218405943425,jahmyr gibbs-RB,0.2844965950122011,bijan robinson-RB,0.3581222808987532,eric gray-RB,-0.002498630131851803,jonathan taylor-RB,0.07915024381722907,2.1974,0.09443818605318882
18,18.0,JUSTICE HILL,2019,RB,"Outstanding short area burst to laterally plant and juke springy lower body and makes tackle attempts more difficult quickly collects his feet to
redirect and accelerate through holes runs with a natural feel and timing for cutback lanes  sensing holes before they expand shows the initial speed to outleverage the defender on the perimeter uses a stiff arm to extend outside runs competitive with the ball in his hands and doesn t waste time dancing decent
receiving production in college  49 304 1  five career fumbles  but none in 2018 one of only six players in school history to reach 3 500 career rushing yards ","Lean muscled body type and lacks ideal body armor runs with tall pads  preferring to turn his shoulder into contact doesn t offer the run power to
shake off tackle attempts feet lose life quickly at contact impatient ball carrier  attacking lanes before they develop and making too much contact with his own
blockers fearless picking up the blitz  but looks more like a speed bump due to poor anchor technique missed most of the Bedlam Game with a rib injury
 November 2018   sitting out the next two contests ",justice hill,justice hill-RB,45865.0,justice hill,RB,-0.03235494989183298,outstanding short area burst laterally plant juke springy lower body make tackle attempt difficult quickly collect foot redirect accelerate hole run natural feel timing cutback lane sensing hole expand show initial speed outleverage defender perimeter us stiff arm extend outside run competitive ball hand waste time dancing decent receiving production college five career fumble none one six player school history reach career rushing yard,lean muscled body type lack ideal body armor run tall pad preferring turn shoulder contact offer run power shake tackle attempt foot lose life quickly contact impatient ball carrier attacking lane develop making much contact blocker fearless picking blitz look like speed bump due poor anchor technique missed bedlam game rib injury november sitting next two contest,outstanding short area burst laterally plant juke springy lower body make tackle attempt difficult quickly collect foot redirect accelerate hole run natural feel timing cutback lane sensing hole expand show initial speed outleverage defender perimeter us stiff arm extend outside run competitive ball hand waste time dancing decent receiving production college five career fumble none one six player school history reach career rushing yard lean muscled body type lack ideal body armor run tall pad preferring turn shoulder contact offer run power shake tackle attempt foot lose life quickly contact impatient ball carrier attacking lane develop making much contact blocker fearless picking blitz look like speed bump due poor anchor technique missed bedlam game rib injury november sitting next two contest,-0.22193999999999994,-0.5733,-0.9080600000000001,-0.58925,"['tackle attempt', 'area burst', 'ball carrier', 'ball hand', 'accelerate hole', 'body armor', 'body make', 'career fumble', 'body type', 'collect foot']",rhamondre stevenson-RB,0.5571,zaquandre white-RB,0.4413,jerome ford-RB,0.416,benny lemay-RB,0.4092,audric estime-RB,0.3832,rhamondre stevenson-RB,0.06589868321213403,zaquandre white-RB,-0.05,jerome ford-RB,-0.11436489937812662,benny lemay-RB,-0.05,audric estime-RB,0.01354694256508986,2.2068000000000003,-0.021840426560122514
19,19.0,DEXTER WILLIAMS,2019,RB,"Outstanding footwork  hips and lateral agility to patch moves together burst to shake pursuit when he bounces runs outside balance to manipulate
defenders in space sustains his speed to run away from chasers trusts his vision to take him from daylight to pay dirt recorded eight rushes of 30 plus yards  seven
resulted in touchdowns  in 2018  including a 97 yarder  second longest in ND history  fumbled only twice in college  both in 2018  graduated with his degree
 December 2018  plenty of tread still on his tires  279 touches the last four seasons  added 10 pounds prior to his breakout 2018 season ","Too reliant on bouncing runs and needs to stay committed inside decisiveness requires sharpening inconsistent power through contact lacks
nuance or technique in pass pro inexperienced receiver struggled to digest the playbook at Notre Dame conditioning was an issue his first three seasons on
campus character requires extensive vetting  arrested  along with four other teammates including Te von Coney  for marijuana possession  August 2016   suspended
the first four games of 2018 after a failed drug test missed three games  October 2017  and parts of others due to a quad contusion ",dexter williams,dexter williams-RB,45913.0,dexter williams,RB,0.0022544002931065583,outstanding footwork hip lateral agility patch move together burst shake pursuit bounce run outside balance manipulate defender space sustains speed run away chaser trust vision take daylight pay dirt recorded eight rush plus yard seven resulted touchdown including yarder second longest history fumbled twice college graduated degree december plenty tread still tire touch last four season added pound prior breakout season,reliant bouncing run need stay committed inside decisiveness requires sharpening inconsistent power contact lack nuance technique pas pro inexperienced receiver struggled digest playbook notre dame conditioning issue first three season campus character requires extensive vetting arrested along four teammate including von coney marijuana possession august suspended first four game failed drug test missed three game october part others due quad contusion,outstanding footwork hip lateral agility patch move together burst shake pursuit bounce run outside balance manipulate defender space sustains speed run away chaser trust vision take daylight pay dirt recorded eight rush plus yard seven resulted touchdown including yarder second longest history fumbled twice college graduated degree december plenty tread still tire touch last four season added pound prior breakout season reliant bouncing run need stay committed inside decisiveness requires sharpening inconsistent power contact lack nuance technique pas pro inexperienced receiver struggled digest playbook notre dame conditioning issue first three season campus character requires extensive vetting arrested along four teammate including von coney marijuana possession august suspended first four game failed drug test missed three game october part others due quad contusion,-0.4249,-0.9072199999999999,-1.0,-1.0,"['bounce run', 'bouncing run', 'contact lack', 'defender space', 'first three', 'four game', 'four season', 'fumbled twice', 'graduated degree', 'last four']",sewo olonilua-RB,0.3973,keaton mitchell-RB,0.3834,javian hawkins-RB,0.3454,tyrion davisprice-RB,0.3072,jerome ford-RB,0.304,sewo olonilua-RB,-0.05,keaton mitchell-RB,0.022825423310997614,javian hawkins-RB,-0.05,tyrion davisprice-RB,-0.004448211230846401,jerome ford-RB,-0.11436489937812662,1.7372999999999998,-0.0371364488595119
20,20.0,JALIN MOORE,2019,RB,"Muscular  athletic frame runs with a low center and powerful lower body  squats 650 pounds   making it a chore for defenders to finish him sharp 
balanced cuts to shift well between open space forces defenders to overpursue with slight movement shows a burst to beat defenders to the corner lowers his
pads and finishes forward to grind through arm tackles terrific ball security with only two fumbles on 605 career offensive touches reliable in pass pro genuinely
loves to push himself  especially in the weight room no one will question his toughness productive career resume  averaging 6 1 yards per carry ","Maxed out build and lacks ideal bulk for the position has some tightness in his swivel needs to add more patience to his run diet and allow blockers
to do their job too reactive and needs to show better anticipation at the line of scrimmage below average pass catching production medical evaluations will be
important after missing most of his senior season with a broken right ankle  October 2018   requiring surgery  also missed chunks of the 2017 season with various
injuries and an illness ",jalin moore,jalin moore-RB,,,,-0.05,muscular athletic frame run low center powerful lower body squat pound making chore defender finish sharp balanced cut shift well open space force defender overpursue slight movement show burst beat defender corner lower pad finish forward grind arm tackle terrific ball security two fumble career offensive touch reliable pas pro genuinely love push especially weight room one question toughness productive career resume averaging yard per carry,maxed build lack ideal bulk position tightness swivel need add patience run diet allow blocker job reactive need show better anticipation line scrimmage average pas catching production medical evaluation important missing senior season broken right ankle october requiring surgery also missed chunk season various injury illness,muscular athletic frame run low center powerful lower body squat pound making chore defender finish sharp balanced cut shift well open space force defender overpursue slight movement show burst beat defender corner lower pad finish forward grind arm tackle terrific ball security two fumble career offensive touch reliable pas pro genuinely love push especially weight room one question toughness productive career resume averaging yard per carry maxed build lack ideal bulk position tightness swivel need add patience run diet allow blocker job reactive need show better anticipation line scrimmage average pas catching production medical evaluation important missing senior season broken right ankle october requiring surgery also missed chunk season various injury illness,-0.3835333333333333,-0.43278,-0.903525,-0.5577000000000001,"['also missed', 'arm tackle', 'average pas', 'averaging yard', 'balanced cut', 'ball security', 'blocker job', 'career offensive', 'chore defender', 'frame run']",cam akers-RB,0.5148,javonte williams-RB,0.5003,salvon ahmed-RB,0.4728,eric gray-RB,0.4147,zack moss-RB,0.3858,cam akers-RB,0.031323875782899864,javonte williams-RB,0.04825680618500884,salvon ahmed-RB,-0.011281371858680915,eric gray-RB,-0.002498630131851803,zack moss-RB,-0.06502993715834973,2.2883999999999998,0.003849784609876842
21,21.0,RYQUELL ARMSTEAD,2019,RB,"Classic north south runner who quickly gets downhill urgent runner and attacks the line of scrimmage runs behind his pads and relies on forward
momentum and leg drive to pick up positive yards footwork to make hard stops and cut away from trouble active in pass protection highly competitive with or
without the ball in his hands  former Temple head coach Geoff Collins   He is one of the most competitive kids I have ever been around    four career fumbles  but
only one in 2018 finished his career fourth all time in rushing  2 812 yards  at Temple ","Runs square and lacks the hip or lower body flexibility to contort his frame not elusive and won t routinely make defenders miss choppy footwork
and tackles himself at times lacks a home run gear second level vision is lacking holds the ball too loose from his body inconsistent focus and adjustment skills as
a pass catcher battled various minor injuries the past two seasons  including a sprained left ankle  October 2018  that sidelined him for several games ",ryquell armstead,ryquell armstead-RB,45810.0,ryquell armstead,RB,-0.022281458168129153,classic north south runner quickly get downhill urgent runner attack line scrimmage run behind pad relies forward momentum leg drive pick positive yard footwork make hard stop cut away trouble active pas protection highly competitive without ball hand former temple head coach geoff collins one competitive kid ever around four career fumble one finished career fourth time rushing yard temple,run square lack hip lower body flexibility contort frame elusive routinely make defender miss choppy footwork tackle time lack home run gear second level vision lacking hold ball loose body inconsistent focus adjustment skill pas catcher battled various minor injury past two season including sprained left ankle october sidelined several game,classic north south runner quickly get downhill urgent runner attack line scrimmage run behind pad relies forward momentum leg drive pick positive yard footwork make hard stop cut away trouble active pas protection highly competitive without ball hand former temple head coach geoff collins one competitive kid ever around four career fumble one finished career fourth time rushing yard temple run square lack hip lower body flexibility contort frame elusive routinely make defender miss choppy footwork tackle time lack home run gear second level vision lacking hold ball loose body inconsistent focus adjustment skill pas catcher battled various minor injury past two season including sprained left ankle october sidelined several game,-0.6057333333333333,-0.4107,-0.8001999999999999,-0.9,"['attack line', 'away trouble', 'ball hand', 'behind pad', 'career fumble', 'cut away', 'defender miss', 'finished career', 'footwork make', 'forward momentum']",lj scott-RB,0.556,zaquandre white-RB,0.552,braelon allen-RB,0.5362,jaylen warren-RB,0.5281,michael wiley-RB,0.5238,lj scott-RB,-0.05,zaquandre white-RB,-0.05,braelon allen-RB,-0.02456521717982741,jaylen warren-RB,0.1604817088562468,michael wiley-RB,-0.05,2.6961,-0.0037133188697895236
